https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume BTC,tradecount
1613952000000,2021-02-22 00:00:00,ETC/BTC,0.00027280,0.00027480,0.00023060,0.00025760,1133499.63000000,292.66695388,39352
1613865600000,2021-02-21 00:00:00,ETC/BTC,0.00026990,0.00028590,0.00026610,0.00027280,548134.54000000,150.61235994,24311
1613779200000,2021-02-20 00:00:00,ETC/BTC,0.00027520,0.00031280,0.00026140,0.00026990,1362684.64000000,390.11710971,44749
1613692800000,2021-02-19 00:00:00,ETC/BTC,0.00028990,0.00030220,0.00026380,0.00027530,908501.35000000,258.02245974,29260
1613606400000,2021-02-18 00:00:00,ETC/BTC,0.00029360,0.00030280,0.00028280,0.00028980,622263.17000000,181.57482838,26464
1613520000000,2021-02-17 00:00:00,ETC/BTC,0.00029280,0.00030750,0.00027660,0.00029360,797026.79000000,233.01706724,32828
1613433600000,2021-02-16 00:00:00,ETC/BTC,0.00030680,0.00031560,0.00027790,0.00029280,675498.80000000,201.68857863,30572
1613347200000,2021-02-15 00:00:00,ETC/BTC,0.00033060,0.00034090,0.00028320,0.00030660,1276921.81000000,398.19236355,52365
1613260800000,2021-02-14 00:00:00,ETC/BTC,0.00035270,0.00036610,0.00031890,0.00033080,2349842.29000000,801.18403841,79655
1613174400000,2021-02-13 00:00:00,ETC/BTC,0.00025200,0.00038850,0.00025040,0.00035340,2982817.94000000,936.94142143,87361
1613088000000,2021-02-12 00:00:00,ETC/BTC,0.00024440,0.00025540,0.00023970,0.00025200,861593.82000000,211.81083970,31336
1613001600000,2021-02-11 00:00:00,ETC/BTC,0.00023160,0.00025090,0.00023020,0.00024420,1718134.11000000,414.06795703,40460
1612915200000,2021-02-10 00:00:00,ETC/BTC,0.00020670,0.00024690,0.00020650,0.00023170,1771476.09000000,407.60800073,46661
1612828800000,2021-02-09 00:00:00,ETC/BTC,0.00018720,0.00021240,0.00018440,0.00020600,1353942.57000000,270.72304124,33517
1612742400000,2021-02-08 00:00:00,ETC/BTC,0.00021350,0.00022010,0.00018600,0.00018740,1075425.59000000,219.92944415,27803
1612656000000,2021-02-07 00:00:00,ETC/BTC,0.00022390,0.00022630,0.00020900,0.00021340,700251.39000000,150.13753547,20634
1612569600000,2021-02-06 00:00:00,ETC/BTC,0.00022260,0.00022940,0.00020820,0.00022360,997794.53000000,217.14727174,28000
1612483200000,2021-02-05 00:00:00,ETC/BTC,0.00020730,0.00023480,0.00020650,0.00022250,1484436.09000000,321.18894091,27556
1612396800000,2021-02-04 00:00:00,ETC/BTC,0.00021110,0.00021310,0.00020420,0.00020710,581078.74000000,120.91532961,15766
1612310400000,2021-02-03 00:00:00,ETC/BTC,0.00021950,0.00022050,0.00020970,0.00021120,751447.96000000,161.22905076,17797
1612224000000,2021-02-02 00:00:00,ETC/BTC,0.00022470,0.00022580,0.00021330,0.00021940,674072.11000000,147.93193463,17227
1612137600000,2021-02-01 00:00:00,ETC/BTC,0.00022400,0.00022680,0.00021750,0.00022480,726456.14000000,161.23653163,16297
1612051200000,2021-01-31 00:00:00,ETC/BTC,0.00022130,0.00022910,0.00021980,0.00022380,614698.59000000,137.30261514,14751
1611964800000,2021-01-30 00:00:00,ETC/BTC,0.00022240,0.00023440,0.00021570,0.00022100,886722.05000000,196.85583063,20905
1611878400000,2021-01-29 00:00:00,ETC/BTC,0.00022990,0.00024000,0.00020320,0.00022230,1485239.00000000,326.06421399,39482
1611792000000,2021-01-28 00:00:00,ETC/BTC,0.00022640,0.00026740,0.00022430,0.00022950,1851656.83000000,441.67342238,32584
1611705600000,2021-01-27 00:00:00,ETC/BTC,0.00022880,0.00023230,0.00022270,0.00022650,504402.09000000,114.44847813,13797
1611619200000,2021-01-26 00:00:00,ETC/BTC,0.00023270,0.00023460,0.00022630,0.00022890,429093.11000000,98.81238365,12045
1611532800000,2021-01-25 00:00:00,ETC/BTC,0.00023650,0.00024380,0.00022330,0.00023240,987177.65000000,228.69756461,18745
1611446400000,2021-01-24 00:00:00,ETC/BTC,0.00023220,0.00024480,0.00023030,0.00023660,659930.34000000,155.62515447,18158
1611360000000,2021-01-23 00:00:00,ETC/BTC,0.00022560,0.00023860,0.00022490,0.00023220,695642.26000000,160.17156423,17679
1611273600000,2021-01-22 00:00:00,ETC/BTC,0.00023130,0.00023300,0.00021710,0.00022550,964277.61000000,218.33962926,23220
1611187200000,2021-01-21 00:00:00,ETC/BTC,0.00022280,0.00023750,0.00022100,0.00023130,1026926.71000000,236.18195129,25623
1611100800000,2021-01-20 00:00:00,ETC/BTC,0.00021790,0.00022540,0.00021680,0.00022280,689931.60000000,152.29004554,18717
1611014400000,2021-01-19 00:00:00,ETC/BTC,0.00021030,0.00022980,0.00020870,0.00021760,1169481.95000000,256.81319260,29800
1610928000000,2021-01-18 00:00:00,ETC/BTC,0.00021440,0.00021650,0.00020810,0.00021040,540977.96000000,114.88496198,14300
1610841600000,2021-01-17 00:00:00,ETC/BTC,0.00021610,0.00022020,0.00020830,0.00021450,560149.60000000,119.94884957,15613
1610755200000,2021-01-16 00:00:00,ETC/BTC,0.00020610,0.00022260,0.00020410,0.00021610,679709.03000000,143.51945228,18833
1610668800000,2021-01-15 00:00:00,ETC/BTC,0.00019900,0.00021320,0.00019850,0.00020590,724404.11000000,148.03247912,20116
1610582400000,2021-01-14 00:00:00,ETC/BTC,0.00020310,0.00020400,0.00019330,0.00019890,683642.14000000,135.39271407,17689
1610496000000,2021-01-13 00:00:00,ETC/BTC,0.00020710,0.00022090,0.00020010,0.00020330,1005510.45000000,211.36112271,21208
1610409600000,2021-01-12 00:00:00,ETC/BTC,0.00020400,0.00021270,0.00020040,0.00020700,1192564.72000000,246.71272571,25237
1610323200000,2021-01-11 00:00:00,ETC/BTC,0.00023180,0.00023430,0.00020270,0.00020400,2166360.20000000,469.48986815,47449
1610236800000,2021-01-10 00:00:00,ETC/BTC,0.00019390,0.00024480,0.00019380,0.00023180,3268356.37000000,716.73909123,77247
1610150400000,2021-01-09 00:00:00,ETC/BTC,0.00017130,0.00019860,0.00016800,0.00019370,1331210.77000000,244.02664994,29665
1610064000000,2021-01-08 00:00:00,ETC/BTC,0.00018280,0.00018650,0.00016450,0.00017140,894125.88000000,154.17909730,20175
1609977600000,2021-01-07 00:00:00,ETC/BTC,0.00020610,0.00020700,0.00018210,0.00018290,748879.05000000,146.38541170,23689
1609891200000,2021-01-06 00:00:00,ETC/BTC,0.00021420,0.00022250,0.00020230,0.00020600,746949.35000000,158.90952049,25196
1609804800000,2021-01-05 00:00:00,ETC/BTC,0.00022020,0.00022800,0.00020300,0.00021420,691945.36000000,150.08417142,21195
1609718400000,2021-01-04 00:00:00,ETC/BTC,0.00019900,0.00027500,0.00019840,0.00022020,1727154.96000000,376.23427239,37345
1609632000000,2021-01-03 00:00:00,ETC/BTC,0.00017920,0.00020250,0.00017010,0.00019870,1111976.87000000,207.82132540,25560
1609545600000,2021-01-02 00:00:00,ETC/BTC,0.00019410,0.00019490,0.00017570,0.00017950,606774.43000000,111.35615102,14075
1609459200000,2021-01-01 00:00:00,ETC/BTC,0.00019570,0.00019970,0.00019220,0.00019410,297120.72000000,58.12433271,7528
