unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC,tradecount
1613433600000,2021-02-16 00:00:00,XRP/BTC,0.00001148,0.00001178,0.00000996,0.00001058,258961065.00000000,2823.11639463,175280
1613347200000,2021-02-15 00:00:00,XRP/BTC,0.00001218,0.00001245,0.00001104,0.00001147,234900397.00000000,2755.14242948,171650
1613260800000,2021-02-14 00:00:00,XRP/BTC,0.00001343,0.00001358,0.00001156,0.00001218,255659756.00000000,3178.80533137,178809
1613174400000,2021-02-13 00:00:00,XRP/BTC,0.00001288,0.00001359,0.00001154,0.00001342,363593357.00000000,4675.05525550,259072
1613088000000,2021-02-12 00:00:00,XRP/BTC,0.00001101,0.00001310,0.00001080,0.00001287,384980613.00000000,4639.62070514,241608
1613001600000,2021-02-11 00:00:00,XRP/BTC,0.00001125,0.00001177,0.00001085,0.00001102,204662290.00000000,2296.90832879,130662
1612915200000,2021-02-10 00:00:00,XRP/BTC,0.00001025,0.00001167,0.00001001,0.00001125,431111726.00000000,4723.11483615,254358
1612828800000,2021-02-09 00:00:00,XRP/BTC,0.00000972,0.00001060,0.00000955,0.00001026,277867702.00000000,2783.63795871,174966
1612742400000,2021-02-08 00:00:00,XRP/BTC,0.00001078,0.00001112,0.00000950,0.00000973,285646713.00000000,2966.91874819,177059
1612656000000,2021-02-07 00:00:00,XRP/BTC,0.00001131,0.00001161,0.00001040,0.00001079,269747506.00000000,2988.05551050,164088
1612569600000,2021-02-06 00:00:00,XRP/BTC,0.00001181,0.00001195,0.00001067,0.00001131,220671819.00000000,2446.56305843,142688
1612483200000,2021-02-05 00:00:00,XRP/BTC,0.00001206,0.00001271,0.00001136,0.00001181,368880235.00000000,4385.86162000,223251
1612396800000,2021-02-04 00:00:00,XRP/BTC,0.00001055,0.00001286,0.00001010,0.00001206,558336591.00000000,6307.33471336,318640
1612310400000,2021-02-03 00:00:00,XRP/BTC,0.00001050,0.00001142,0.00001019,0.00001055,350972515.00000000,3728.49699279,192039
1612224000000,2021-02-02 00:00:00,XRP/BTC,0.00001108,0.00001177,0.00000993,0.00001051,674118953.00000000,7313.18397972,321941
1612137600000,2021-02-01 00:00:00,XRP/BTC,0.00001497,0.00002219,0.00001067,0.00001108,2844400378.00000000,44644.88660898,1394012
1612051200000,2021-01-31 00:00:00,XRP/BTC,0.00001294,0.00001515,0.00001138,0.00001497,1374584167.00000000,18909.03174584,738518
1611964800000,2021-01-30 00:00:00,XRP/BTC,0.00000826,0.00001532,0.00000817,0.00001295,1898105958.00000000,21795.64950387,806828
1611878400000,2021-01-29 00:00:00,XRP/BTC,0.00000791,0.00000965,0.00000742,0.00000827,545934729.00000000,4495.78441386,212457
1611792000000,2021-01-28 00:00:00,XRP/BTC,0.00000825,0.00000836,0.00000785,0.00000792,114924389.00000000,934.19842952,63617
1611705600000,2021-01-27 00:00:00,XRP/BTC,0.00000826,0.00000838,0.00000809,0.00000825,81365867.00000000,672.59594245,51975
1611619200000,2021-01-26 00:00:00,XRP/BTC,0.00000828,0.00000849,0.00000817,0.00000827,89264084.00000000,743.78748013,49400
1611532800000,2021-01-25 00:00:00,XRP/BTC,0.00000848,0.00000863,0.00000795,0.00000829,105054239.00000000,867.24918628,57590
1611446400000,2021-01-24 00:00:00,XRP/BTC,0.00000847,0.00000869,0.00000833,0.00000848,69863280.00000000,592.70966030,43938
1611360000000,2021-01-23 00:00:00,XRP/BTC,0.00000826,0.00000868,0.00000826,0.00000847,88809560.00000000,751.48061554,52282
1611273600000,2021-01-22 00:00:00,XRP/BTC,0.00000868,0.00000876,0.00000816,0.00000826,169780586.00000000,1437.81346871,87705
1611187200000,2021-01-21 00:00:00,XRP/BTC,0.00000833,0.00000889,0.00000831,0.00000869,187295800.00000000,1621.84944462,102565
1611100800000,2021-01-20 00:00:00,XRP/BTC,0.00000820,0.00000874,0.00000804,0.00000832,123240635.00000000,1023.94944556,76140
1611014400000,2021-01-19 00:00:00,XRP/BTC,0.00000780,0.00000906,0.00000774,0.00000819,257865675.00000000,2139.40823131,111339
1610928000000,2021-01-18 00:00:00,XRP/BTC,0.00000775,0.00000790,0.00000763,0.00000778,90361168.00000000,703.71909930,51393
1610841600000,2021-01-17 00:00:00,XRP/BTC,0.00000776,0.00000794,0.00000763,0.00000774,96972319.00000000,755.16727241,51863
1610755200000,2021-01-16 00:00:00,XRP/BTC,0.00000761,0.00000784,0.00000752,0.00000774,127505493.00000000,981.64463223,62134
1610668800000,2021-01-15 00:00:00,XRP/BTC,0.00000758,0.00000783,0.00000749,0.00000761,165925182.00000000,1271.42465644,70129
1610582400000,2021-01-14 00:00:00,XRP/BTC,0.00000818,0.00000819,0.00000741,0.00000757,186772052.00000000,1440.65695340,84207
1610496000000,2021-01-13 00:00:00,XRP/BTC,0.00000858,0.00000891,0.00000810,0.00000818,161816300.00000000,1390.59649455,91778
1610409600000,2021-01-12 00:00:00,XRP/BTC,0.00000811,0.00000880,0.00000760,0.00000860,240835208.00000000,2030.31848827,115779
1610323200000,2021-01-11 00:00:00,XRP/BTC,0.00000825,0.00000886,0.00000750,0.00000812,385366406.00000000,3167.65426715,182670
1610236800000,2021-01-10 00:00:00,XRP/BTC,0.00000808,0.00000909,0.00000801,0.00000824,335849348.00000000,2812.83906449,155743
1610150400000,2021-01-09 00:00:00,XRP/BTC,0.00000790,0.00000835,0.00000766,0.00000808,232872836.00000000,1856.70119427,107814
1610064000000,2021-01-08 00:00:00,XRP/BTC,0.00000821,0.00000873,0.00000756,0.00000789,382881614.00000000,3074.87931587,181816
