unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1614038400000,2021-02-23 00:00:00,BTG/BTC,0.00061400,0.00061400,0.00046000,0.00054500,257179.18000000,139.82237939,20669
1613952000000,2021-02-22 00:00:00,BTG/BTC,0.00056300,0.00065000,0.00054800,0.00061300,400179.56000000,238.25285008,31716
1613865600000,2021-02-21 00:00:00,BTG/BTC,0.00045700,0.00066500,0.00045200,0.00056300,407537.34000000,227.46853550,31379
1613779200000,2021-02-20 00:00:00,BTG/BTC,0.00049000,0.00050000,0.00045100,0.00045600,91701.52000000,43.66956767,7884
1613692800000,2021-02-19 00:00:00,BTG/BTC,0.00050800,0.00053000,0.00048100,0.00049300,139466.15000000,70.61278421,12598
1613606400000,2021-02-18 00:00:00,BTG/BTC,0.00052100,0.00053600,0.00049500,0.00051000,91028.76000000,46.58265197,11392
1613520000000,2021-02-17 00:00:00,BTG/BTC,0.00053400,0.00055600,0.00051300,0.00052100,145514.90000000,77.90140503,12367
1613433600000,2021-02-16 00:00:00,BTG/BTC,0.00058400,0.00058500,0.00052600,0.00053400,228917.93000000,127.69059582,19015
1613347200000,2021-02-15 00:00:00,BTG/BTC,0.00053800,0.00067500,0.00052300,0.00058200,1036041.10000000,615.23698593,73149
1613260800000,2021-02-14 00:00:00,BTG/BTC,0.00037600,0.00055800,0.00037000,0.00053700,891238.60000000,407.67512276,50042
1613174400000,2021-02-13 00:00:00,BTG/BTC,0.00032600,0.00039900,0.00032300,0.00037400,301697.19000000,106.22767881,17642
1613088000000,2021-02-12 00:00:00,BTG/BTC,0.00031800,0.00033200,0.00031300,0.00032600,155917.28000000,50.24678414,6243
1613001600000,2021-02-11 00:00:00,BTG/BTC,0.00032100,0.00034300,0.00031200,0.00031800,179101.03000000,58.33843766,8917
1612915200000,2021-02-10 00:00:00,BTG/BTC,0.00030500,0.00032400,0.00030000,0.00032000,89988.82000000,28.22386183,7278
1612828800000,2021-02-09 00:00:00,BTG/BTC,0.00029500,0.00031100,0.00028600,0.00030600,122502.21000000,36.76159156,7647
1612742400000,2021-02-08 00:00:00,BTG/BTC,0.00031400,0.00032500,0.00028900,0.00029500,78983.89000000,24.43056990,4889
1612656000000,2021-02-07 00:00:00,BTG/BTC,0.00032400,0.00032800,0.00030800,0.00031600,82718.88000000,26.16303964,4047
1612569600000,2021-02-06 00:00:00,BTG/BTC,0.00031400,0.00034300,0.00030800,0.00032300,168480.71000000,54.88978877,10271
