unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1611014400000,2021-01-19 00:00:00,DASH/BTC,0.00353300,0.00363200,0.00340100,0.00346700,42387.04800000,149.17846333,19398
1610928000000,2021-01-18 00:00:00,DASH/BTC,0.00346500,0.00366000,0.00332200,0.00353100,55378.64900000,194.24554950,19383
1610841600000,2021-01-17 00:00:00,DASH/BTC,0.00346900,0.00355000,0.00335700,0.00346700,55820.06900000,193.16103367,18023
1610755200000,2021-01-16 00:00:00,DASH/BTC,0.00338300,0.00355200,0.00334600,0.00346600,36482.88500000,125.30728844,19251
1610668800000,2021-01-15 00:00:00,DASH/BTC,0.00339600,0.00355500,0.00334600,0.00338300,57129.76100000,195.40470511,21975
1610582400000,2021-01-14 00:00:00,DASH/BTC,0.00355800,0.00358000,0.00333700,0.00339400,75110.00800000,258.11676517,26426
1610496000000,2021-01-13 00:00:00,DASH/BTC,0.00377500,0.00393300,0.00355700,0.00356000,61823.53400000,232.36075586,29006
1610409600000,2021-01-12 00:00:00,DASH/BTC,0.00353500,0.00387400,0.00344300,0.00377500,75871.61500000,276.00024774,34591
1610323200000,2021-01-11 00:00:00,DASH/BTC,0.00384500,0.00408800,0.00341000,0.00353500,232729.54000000,854.18850035,91657
1610236800000,2021-01-10 00:00:00,DASH/BTC,0.00274300,0.00399100,0.00273500,0.00384500,379931.28900000,1355.49664608,130638
1610150400000,2021-01-09 00:00:00,DASH/BTC,0.00237000,0.00276200,0.00235800,0.00274300,58375.64800000,149.16252791,20560
1610064000000,2021-01-08 00:00:00,DASH/BTC,0.00251200,0.00255500,0.00232900,0.00237300,50999.95100000,124.07321777,15104
1609977600000,2021-01-07 00:00:00,DASH/BTC,0.00256400,0.00302000,0.00250100,0.00251000,79490.29700000,211.37986509,25492
1609891200000,2021-01-06 00:00:00,DASH/BTC,0.00262600,0.00280800,0.00252900,0.00255900,46531.98400000,123.07317014,17553
1609804800000,2021-01-05 00:00:00,DASH/BTC,0.00278100,0.00287300,0.00259400,0.00262400,39747.38100000,108.22696771,13970
1609718400000,2021-01-04 00:00:00,DASH/BTC,0.00271600,0.00306800,0.00271400,0.00278200,60336.94900000,171.15659022,20267
1609632000000,2021-01-03 00:00:00,DASH/BTC,0.00269900,0.00292800,0.00246700,0.00271500,67304.38700000,177.34731070,20360
1609545600000,2021-01-02 00:00:00,DASH/BTC,0.00300100,0.00305900,0.00269000,0.00270000,126886.84800000,366.04663975,30009
1609459200000,2021-01-01 00:00:00,DASH/BTC,0.00344200,0.00358200,0.00294800,0.00299900,124528.67200000,394.68036530,25778
1609372800000,2020-12-31 00:00:00,DASH/BTC,0.00352400,0.00354400,0.00337800,0.00343900,34759.44000000,119.36388251,8738
1609286400000,2020-12-30 00:00:00,DASH/BTC,0.00379800,0.00415800,0.00347600,0.00352500,56529.10000000,203.62976639,16066
1609200000000,2020-12-29 00:00:00,DASH/BTC,0.00395600,0.00403700,0.00375300,0.00379600,30091.86200000,116.07412520,10851
1609113600000,2020-12-28 00:00:00,DASH/BTC,0.00409000,0.00414200,0.00389600,0.00395600,45360.58000000,181.14193293,18415
1609027200000,2020-12-27 00:00:00,DASH/BTC,0.00407600,0.00415200,0.00367100,0.00408800,82113.98900000,324.64081744,26222
1608940800000,2020-12-26 00:00:00,DASH/BTC,0.00416800,0.00438100,0.00403400,0.00408100,61735.90200000,260.18810685,21057
1608854400000,2020-12-25 00:00:00,DASH/BTC,0.00415300,0.00433400,0.00407600,0.00417900,44629.96400000,188.32771941,17471
1608768000000,2020-12-24 00:00:00,DASH/BTC,0.00393100,0.00420400,0.00383600,0.00415200,30775.44600000,122.37746350,13776
1608681600000,2020-12-23 00:00:00,DASH/BTC,0.00444100,0.00446200,0.00381400,0.00393200,37514.68400000,155.28042578,16183
