https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AST,Volume BTC,tradecount
1610582400000,2021-01-14 00:00:00,AST/BTC,0.00000314,0.00000373,0.00000306,0.00000362,17575287.00000000,61.13469800,14973
1610496000000,2021-01-13 00:00:00,AST/BTC,0.00000296,0.00000383,0.00000287,0.00000313,23018921.00000000,78.16754686,16630
1610409600000,2021-01-12 00:00:00,AST/BTC,0.00000281,0.00000300,0.00000275,0.00000296,6209059.00000000,17.83082402,5180
1610323200000,2021-01-11 00:00:00,AST/BTC,0.00000298,0.00000315,0.00000273,0.00000282,8812460.00000000,25.42707942,7708
1610236800000,2021-01-10 00:00:00,AST/BTC,0.00000288,0.00000339,0.00000276,0.00000299,16407584.00000000,50.55931587,14592
1610150400000,2021-01-09 00:00:00,AST/BTC,0.00000256,0.00000379,0.00000248,0.00000287,28049074.00000000,85.20359703,19287
1610064000000,2021-01-08 00:00:00,AST/BTC,0.00000317,0.00000334,0.00000243,0.00000256,13711221.00000000,37.93244367,9861
1609977600000,2021-01-07 00:00:00,AST/BTC,0.00000305,0.00000366,0.00000272,0.00000315,29231381.00000000,92.75754117,20901
1609891200000,2021-01-06 00:00:00,AST/BTC,0.00000267,0.00000395,0.00000246,0.00000305,54622439.00000000,172.36164724,32367
1609804800000,2021-01-05 00:00:00,AST/BTC,0.00000216,0.00000294,0.00000216,0.00000266,22072719.00000000,55.49008654,13542
1609718400000,2021-01-04 00:00:00,AST/BTC,0.00000209,0.00000243,0.00000203,0.00000216,10210655.00000000,22.41943914,6648
1609632000000,2021-01-03 00:00:00,AST/BTC,0.00000205,0.00000221,0.00000187,0.00000208,9380658.00000000,19.01777984,5596
1609545600000,2021-01-02 00:00:00,AST/BTC,0.00000263,0.00000265,0.00000197,0.00000205,18493929.00000000,40.27183423,6438
1609459200000,2021-01-01 00:00:00,AST/BTC,0.00000236,0.00000290,0.00000233,0.00000262,12756272.00000000,32.89045246,7564
1609372800000,2020-12-31 00:00:00,AST/BTC,0.00000237,0.00000245,0.00000231,0.00000236,2347439.00000000,5.55671835,2081
1609286400000,2020-12-30 00:00:00,AST/BTC,0.00000248,0.00000255,0.00000232,0.00000235,3727844.00000000,9.05008931,2773
1609200000000,2020-12-29 00:00:00,AST/BTC,0.00000282,0.00000288,0.00000238,0.00000248,7999154.00000000,20.44818139,4232
1609113600000,2020-12-28 00:00:00,AST/BTC,0.00000318,0.00000319,0.00000272,0.00000280,11094244.00000000,32.37648228,6063
1609027200000,2020-12-27 00:00:00,AST/BTC,0.00000278,0.00000379,0.00000236,0.00000318,34980272.00000000,106.99739808,19146
1608940800000,2020-12-26 00:00:00,AST/BTC,0.00000265,0.00000278,0.00000235,0.00000278,4590944.00000000,11.65566006,2984
1608854400000,2020-12-25 00:00:00,AST/BTC,0.00000293,0.00000294,0.00000263,0.00000265,2024468.00000000,5.61835907,1861
1608768000000,2020-12-24 00:00:00,AST/BTC,0.00000264,0.00000305,0.00000257,0.00000293,4685364.00000000,12.99792098,3046
1608681600000,2020-12-23 00:00:00,AST/BTC,0.00000336,0.00000336,0.00000228,0.00000264,6793651.00000000,20.08445828,3933
1608595200000,2020-12-22 00:00:00,AST/BTC,0.00000352,0.00000372,0.00000330,0.00000334,4016733.00000000,14.02078702,2574
1608508800000,2020-12-21 00:00:00,AST/BTC,0.00000358,0.00000365,0.00000340,0.00000352,3344457.00000000,11.65697480,2712
1608422400000,2020-12-20 00:00:00,AST/BTC,0.00000352,0.00000382,0.00000338,0.00000360,7033962.00000000,25.51370827,4273
1608336000000,2020-12-19 00:00:00,AST/BTC,0.00000371,0.00000398,0.00000344,0.00000352,7236075.00000000,26.80012970,4644
1608249600000,2020-12-18 00:00:00,AST/BTC,0.00000365,0.00000401,0.00000352,0.00000370,4897267.00000000,18.34595945,3387
1608163200000,2020-12-17 00:00:00,AST/BTC,0.00000407,0.00000414,0.00000350,0.00000365,6768238.00000000,25.50396155,5741
1608076800000,2020-12-16 00:00:00,AST/BTC,0.00000450,0.00000478,0.00000398,0.00000404,4999545.00000000,21.79590181,6335
1607990400000,2020-12-15 00:00:00,AST/BTC,0.00000470,0.00000478,0.00000444,0.00000449,3184607.00000000,14.69819454,2754
1607904000000,2020-12-14 00:00:00,AST/BTC,0.00000473,0.00000480,0.00000459,0.00000470,2824620.00000000,13.24825310,3006
1607817600000,2020-12-13 00:00:00,AST/BTC,0.00000484,0.00000486,0.00000462,0.00000473,3300635.00000000,15.61809482,3108
1607731200000,2020-12-12 00:00:00,AST/BTC,0.00000474,0.00000503,0.00000472,0.00000484,2420891.00000000,11.75692727,2985
1607644800000,2020-12-11 00:00:00,AST/BTC,0.00000487,0.00000487,0.00000461,0.00000475,3129575.00000000,14.75727769,4038
1607558400000,2020-12-10 00:00:00,AST/BTC,0.00000507,0.00000526,0.00000471,0.00000484,5760290.00000000,28.60369083,5954
1607472000000,2020-12-09 00:00:00,AST/BTC,0.00000480,0.00000568,0.00000450,0.00000509,9679892.00000000,47.82969930,11062
1607385600000,2020-12-08 00:00:00,AST/BTC,0.00000478,0.00000499,0.00000464,0.00000480,5175242.00000000,24.77152882,5335
1607299200000,2020-12-07 00:00:00,AST/BTC,0.00000500,0.00000525,0.00000463,0.00000481,6526915.00000000,32.28111413,5516
1607212800000,2020-12-06 00:00:00,AST/BTC,0.00000518,0.00000530,0.00000493,0.00000500,4710043.00000000,24.07642183,4019
1607126400000,2020-12-05 00:00:00,AST/BTC,0.00000495,0.00000540,0.00000486,0.00000517,8780323.00000000,45.43796974,8469
1607040000000,2020-12-04 00:00:00,AST/BTC,0.00000532,0.00000628,0.00000486,0.00000492,34804937.00000000,194.26312849,34228
