key,symbol
ADABTC,ADA/BTC
ADAUSDT,ADA/USDT
ASTBTC,AST/BTC
BNBUSDT,BNB/USDT
BTCUSDT,BTC/USDT
BTGBTC,BTG/BTC
BTTUSDT,BTT/USDT
DASHBTC,DASH/BTC
EOSBTC,EOS/BTC
EOSUSDT,EOS/USDT
ETCBTC,ETC/BTC
ETCUSDT,ETC/USDT
ETHBTC,ETH/BTC
ETHUSDT,ETH/USDT
IOTABTC,IOTA/BTC
LINKUSDT,LINK/USDT
LTCBTC,LTC/BTC
LTCUSDT,LTC/USDT
NEOBTC,NEO/BTC
QTUMUSDT,QTUM/USDT
TRXUSDT,TRX/USDT
XLMBTC,XLM/BTC
XMRUSDT,XMR/USDT
XRPUSDT,XRP/USDT
ZECUSDT,ZEC/USDT


