unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC,tradecount
1610928000000,2021-01-18 00:00:00,XLM/BTC,0.00000848,0.00000862,0.00000804,0.00000833,43575261.00000000,362.29174620,30054
1610841600000,2021-01-17 00:00:00,XLM/BTC,0.00000809,0.00000871,0.00000801,0.00000848,104985025.00000000,889.20262702,62655
1610755200000,2021-01-16 00:00:00,XLM/BTC,0.00000772,0.00000828,0.00000766,0.00000807,77537653.00000000,621.18447206,48928
1610668800000,2021-01-15 00:00:00,XLM/BTC,0.00000775,0.00000796,0.00000744,0.00000772,85748171.00000000,664.79584370,47707
1610582400000,2021-01-14 00:00:00,XLM/BTC,0.00000813,0.00000823,0.00000750,0.00000775,89151149.00000000,696.12045641,50387
1610496000000,2021-01-13 00:00:00,XLM/BTC,0.00000821,0.00000861,0.00000804,0.00000813,106817412.00000000,891.86219367,57896
1610409600000,2021-01-12 00:00:00,XLM/BTC,0.00000766,0.00000895,0.00000734,0.00000821,180450930.00000000,1479.49817954,97720
1610323200000,2021-01-11 00:00:00,XLM/BTC,0.00000745,0.00000775,0.00000671,0.00000766,178284565.00000000,1281.00697868,84492
1610236800000,2021-01-10 00:00:00,XLM/BTC,0.00000775,0.00000801,0.00000730,0.00000746,136606199.00000000,1036.00329036,66463
1610150400000,2021-01-09 00:00:00,XLM/BTC,0.00000732,0.00000814,0.00000706,0.00000774,184194932.00000000,1377.97672183,79103
1610064000000,2021-01-08 00:00:00,XLM/BTC,0.00000788,0.00000852,0.00000705,0.00000731,311961832.00000000,2367.85288724,124058
1609977600000,2021-01-07 00:00:00,XLM/BTC,0.00000924,0.00001107,0.00000771,0.00000789,516150581.00000000,4783.38099501,262700
1609891200000,2021-01-06 00:00:00,XLM/BTC,0.00000568,0.00001129,0.00000568,0.00000921,1106906849.00000000,9334.30010492,482174
1609804800000,2021-01-05 00:00:00,XLM/BTC,0.00000512,0.00000649,0.00000475,0.00000568,306311705.00000000,1705.78931815,120325
1609718400000,2021-01-04 00:00:00,XLM/BTC,0.00000414,0.00000535,0.00000413,0.00000511,229271275.00000000,1083.36460780,80369
1609632000000,2021-01-03 00:00:00,XLM/BTC,0.00000396,0.00000423,0.00000359,0.00000413,107167614.00000000,421.05884332,35223
1609545600000,2021-01-02 00:00:00,XLM/BTC,0.00000451,0.00000456,0.00000387,0.00000397,90806895.00000000,371.85872427,28774
1609459200000,2021-01-01 00:00:00,XLM/BTC,0.00000441,0.00000477,0.00000437,0.00000451,48291680.00000000,220.30662975,17840
1609372800000,2020-12-31 00:00:00,XLM/BTC,0.00000457,0.00000457,0.00000428,0.00000441,59707476.00000000,261.88757329,23225
